[     393ms] [INFO] [SAFA API] -> GET /auth/session {method: GET, path: /auth/session, url: /api/auth/session, body: undefined, requestedAt: 2026-06-23T13:03:36.625Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     394ms] [INFO] [SAFA API] -> GET /orders {method: GET, path: /orders, url: /api/orders, body: undefined, requestedAt: 2026-06-23T13:03:36.626Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     395ms] [INFO] [SAFA API] -> GET /products {method: GET, path: /products, url: /api/products, body: undefined, requestedAt: 2026-06-23T13:03:36.626Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     395ms] [INFO] [SAFA API] -> GET /integrations/hepsiburada/order-lines {method: GET, path: /integrations/hepsiburada/order-lines, url: /api/integrations/hepsiburada/order-lines, body: undefined, requestedAt: 2026-06-23T13:03:36.627Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     396ms] [INFO] [SAFA API] -> GET /invoice-drafts {method: GET, path: /invoice-drafts, url: /api/invoice-drafts, body: undefined, requestedAt: 2026-06-23T13:03:36.627Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     396ms] [INFO] [SAFA API] -> GET /invoices {method: GET, path: /invoices, url: /api/invoices, body: undefined, requestedAt: 2026-06-23T13:03:36.628Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     398ms] [INFO] [SAFA API] -> GET /external-invoices {method: GET, path: /external-invoices, url: /api/external-invoices, body: undefined, requestedAt: 2026-06-23T13:03:36.629Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     398ms] [INFO] [SAFA API] -> GET /jobs {method: GET, path: /jobs, url: /api/jobs, body: undefined, requestedAt: 2026-06-23T13:03:36.630Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     399ms] [INFO] [SAFA API] -> GET /settings {method: GET, path: /settings, url: /api/settings, body: undefined, requestedAt: 2026-06-23T13:03:36.630Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     399ms] [INFO] [SAFA API] -> GET /settings/connections {method: GET, path: /settings/connections, url: /api/settings/connections, body: undefined, requestedAt: 2026-06-23T13:03:36.630Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     399ms] [INFO] [SAFA API] -> GET /automation/status {method: GET, path: /automation/status, url: /api/automation/status, body: undefined, requestedAt: 2026-06-23T13:03:36.631Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     401ms] [INFO] [SAFA ROUTE] navigation {from: null, to: /settings, pathname: /settings, search: null, navigatedAt: 2026-06-23T13:03:36.632Z} @ https://safa-redesign.web.app/_next/static/chunks/0u_z2k12x9vs1.js:0
[    6891ms] [INFO] [SAFA API] <- 200 GET /external-invoices (6483ms) {method: GET, path: /external-invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   15030ms] [INFO] [SAFA API] <- 200 GET /products (14635ms) {method: GET, path: /products, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   15081ms] [INFO] [SAFA API] <- 200 GET /invoice-drafts (14682ms) {method: GET, path: /invoice-drafts, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   17670ms] [INFO] [SAFA API] <- 200 GET /auth/session (17276ms) {method: GET, path: /auth/session, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   17961ms] [INFO] [SAFA API] <- 200 GET /jobs (17515ms) {method: GET, path: /jobs, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   19464ms] [INFO] [SAFA API] <- 200 GET /invoices (19068ms) {method: GET, path: /invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   19543ms] [INFO] [SAFA API] <- 200 GET /integrations/hepsiburada/order-lines (19148ms) {method: GET, path: /integrations/hepsiburada/order-lines, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   22565ms] [INFO] [SAFA API] <- 200 GET /automation/status (22166ms) {method: GET, path: /automation/status, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   22681ms] [INFO] [SAFA API] <- 200 GET /settings (22282ms) {method: GET, path: /settings, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   22739ms] [INFO] [SAFA API] <- 200 GET /settings/connections (22340ms) {method: GET, path: /settings/connections, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   26002ms] [INFO] [SAFA API] <- 200 GET /orders (25606ms) {method: GET, path: /orders, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
