[    1068ms] [INFO] [SAFA API] -> GET /auth/session {method: GET, path: /auth/session, url: /api/auth/session, body: undefined, requestedAt: 2026-06-23T09:30:01.998Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    1068ms] [INFO] [SAFA API] -> GET /orders {method: GET, path: /orders, url: /api/orders, body: undefined, requestedAt: 2026-06-23T09:30:01.999Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    1069ms] [INFO] [SAFA API] -> GET /products {method: GET, path: /products, url: /api/products, body: undefined, requestedAt: 2026-06-23T09:30:01.999Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    1069ms] [INFO] [SAFA API] -> GET /integrations/hepsiburada/order-lines {method: GET, path: /integrations/hepsiburada/order-lines, url: /api/integrations/hepsiburada/order-lines, body: undefined, requestedAt: 2026-06-23T09:30:01.999Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    1069ms] [INFO] [SAFA API] -> GET /invoice-drafts {method: GET, path: /invoice-drafts, url: /api/invoice-drafts, body: undefined, requestedAt: 2026-06-23T09:30:02.000Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    1069ms] [INFO] [SAFA API] -> GET /invoices {method: GET, path: /invoices, url: /api/invoices, body: undefined, requestedAt: 2026-06-23T09:30:02.000Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    1070ms] [INFO] [SAFA API] -> GET /external-invoices {method: GET, path: /external-invoices, url: /api/external-invoices, body: undefined, requestedAt: 2026-06-23T09:30:02.000Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    1070ms] [INFO] [SAFA API] -> GET /jobs {method: GET, path: /jobs, url: /api/jobs, body: undefined, requestedAt: 2026-06-23T09:30:02.000Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    1070ms] [INFO] [SAFA API] -> GET /settings {method: GET, path: /settings, url: /api/settings, body: undefined, requestedAt: 2026-06-23T09:30:02.001Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    1070ms] [INFO] [SAFA API] -> GET /settings/connections {method: GET, path: /settings/connections, url: /api/settings/connections, body: undefined, requestedAt: 2026-06-23T09:30:02.001Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    1071ms] [INFO] [SAFA API] -> GET /automation/status {method: GET, path: /automation/status, url: /api/automation/status, body: undefined, requestedAt: 2026-06-23T09:30:02.001Z} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[    1072ms] [INFO] [SAFA ROUTE] navigation {from: null, to: /orders, pathname: /orders, search: null, navigatedAt: 2026-06-23T09:30:02.003Z} @ https://safa-redesign.web.app/_next/static/chunks/0u_z2k12x9vs1.js:0
[   10112ms] [INFO] [SAFA API] <- 200 GET /orders (9037ms) {method: GET, path: /orders, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[   14516ms] [INFO] [SAFA API] <- 200 GET /invoice-drafts (13442ms) {method: GET, path: /invoice-drafts, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[   17105ms] [INFO] [SAFA API] <- 200 GET /auth/session (16037ms) {method: GET, path: /auth/session, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[   17154ms] [INFO] [SAFA API] <- 200 GET /integrations/hepsiburada/order-lines (16085ms) {method: GET, path: /integrations/hepsiburada/order-lines, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[   17198ms] [INFO] [SAFA API] <- 200 GET /products (16129ms) {method: GET, path: /products, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[   17447ms] [INFO] [SAFA API] <- 200 GET /jobs (16311ms) {method: GET, path: /jobs, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[   23738ms] [INFO] [SAFA API] <- 200 GET /settings/connections (22667ms) {method: GET, path: /settings/connections, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[   23812ms] [INFO] [SAFA API] <- 200 GET /external-invoices (22731ms) {method: GET, path: /external-invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[   25360ms] [INFO] [SAFA API] <- 200 GET /invoices (24290ms) {method: GET, path: /invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[   25499ms] [INFO] [SAFA API] <- 200 GET /settings (24428ms) {method: GET, path: /settings, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
[   27784ms] [INFO] [SAFA API] <- 200 GET /automation/status (26713ms) {method: GET, path: /automation/status, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/17050gsy~bzjc.js:0
