[     878ms] [INFO] [SAFA API] -> GET /auth/session {method: GET, path: /auth/session, url: /api/auth/session, body: undefined, requestedAt: 2026-06-23T09:32:37.268Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     878ms] [INFO] [SAFA API] -> GET /orders {method: GET, path: /orders, url: /api/orders, body: undefined, requestedAt: 2026-06-23T09:32:37.269Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     879ms] [INFO] [SAFA API] -> GET /products {method: GET, path: /products, url: /api/products, body: undefined, requestedAt: 2026-06-23T09:32:37.269Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     879ms] [INFO] [SAFA API] -> GET /integrations/hepsiburada/order-lines {method: GET, path: /integrations/hepsiburada/order-lines, url: /api/integrations/hepsiburada/order-lines, body: undefined, requestedAt: 2026-06-23T09:32:37.269Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     879ms] [INFO] [SAFA API] -> GET /invoice-drafts {method: GET, path: /invoice-drafts, url: /api/invoice-drafts, body: undefined, requestedAt: 2026-06-23T09:32:37.270Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     879ms] [INFO] [SAFA API] -> GET /invoices {method: GET, path: /invoices, url: /api/invoices, body: undefined, requestedAt: 2026-06-23T09:32:37.270Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     880ms] [INFO] [SAFA API] -> GET /external-invoices {method: GET, path: /external-invoices, url: /api/external-invoices, body: undefined, requestedAt: 2026-06-23T09:32:37.270Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     880ms] [INFO] [SAFA API] -> GET /jobs {method: GET, path: /jobs, url: /api/jobs, body: undefined, requestedAt: 2026-06-23T09:32:37.271Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     881ms] [INFO] [SAFA API] -> GET /settings {method: GET, path: /settings, url: /api/settings, body: undefined, requestedAt: 2026-06-23T09:32:37.271Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     881ms] [INFO] [SAFA API] -> GET /settings/connections {method: GET, path: /settings/connections, url: /api/settings/connections, body: undefined, requestedAt: 2026-06-23T09:32:37.271Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     881ms] [INFO] [SAFA API] -> GET /automation/status {method: GET, path: /automation/status, url: /api/automation/status, body: undefined, requestedAt: 2026-06-23T09:32:37.272Z} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[     883ms] [INFO] [SAFA ROUTE] navigation {from: null, to: /operations, pathname: /operations, search: null, navigatedAt: 2026-06-23T09:32:37.273Z} @ https://safa-redesign.web.app/_next/static/chunks/0u_z2k12x9vs1.js:0
[   13410ms] [INFO] [SAFA API] <- 200 GET /products (12531ms) {method: GET, path: /products, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   13465ms] [INFO] [SAFA API] <- 200 GET /settings/connections (12583ms) {method: GET, path: /settings/connections, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   17606ms] [INFO] [SAFA API] <- 200 GET /orders (16713ms) {method: GET, path: /orders, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   20220ms] [INFO] [SAFA API] <- 200 GET /automation/status (19338ms) {method: GET, path: /automation/status, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   20221ms] [INFO] [SAFA API] <- 200 GET /auth/session (19344ms) {method: GET, path: /auth/session, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   28419ms] [INFO] [SAFA API] <- 200 GET /invoice-drafts (27537ms) {method: GET, path: /invoice-drafts, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   28420ms] [INFO] [SAFA API] <- 200 GET /integrations/hepsiburada/order-lines (27542ms) {method: GET, path: /integrations/hepsiburada/order-lines, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   38021ms] [INFO] [SAFA API] <- 200 GET /external-invoices (37128ms) {method: GET, path: /external-invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   40258ms] [INFO] [SAFA API] <- 200 GET /invoices (39379ms) {method: GET, path: /invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   44092ms] [INFO] [SAFA API] <- 200 GET /settings (43212ms) {method: GET, path: /settings, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
[   44376ms] [INFO] [SAFA API] <- 200 GET /jobs (43446ms) {method: GET, path: /jobs, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/01frtst1.dlz3.js:0
