[  677768ms] [INFO] [SAFA API] -> GET /integrations/hepsiburada/order-lines {method: GET, path: /integrations/hepsiburada/order-lines, url: /api/integrations/hepsiburada/order-lines, body: undefined, requestedAt: 2026-06-23T13:19:25.612Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  677768ms] [INFO] [SAFA API] -> GET /invoice-drafts {method: GET, path: /invoice-drafts, url: /api/invoice-drafts, body: undefined, requestedAt: 2026-06-23T13:19:25.613Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  677769ms] [INFO] [SAFA API] -> GET /invoices {method: GET, path: /invoices, url: /api/invoices, body: undefined, requestedAt: 2026-06-23T13:19:25.613Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  677769ms] [INFO] [SAFA API] -> GET /external-invoices {method: GET, path: /external-invoices, url: /api/external-invoices, body: undefined, requestedAt: 2026-06-23T13:19:25.613Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  677769ms] [INFO] [SAFA API] -> GET /jobs {method: GET, path: /jobs, url: /api/jobs, body: undefined, requestedAt: 2026-06-23T13:19:25.614Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  677770ms] [INFO] [SAFA API] -> GET /settings {method: GET, path: /settings, url: /api/settings, body: undefined, requestedAt: 2026-06-23T13:19:25.614Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  677770ms] [INFO] [SAFA API] -> GET /settings/connections {method: GET, path: /settings/connections, url: /api/settings/connections, body: undefined, requestedAt: 2026-06-23T13:19:25.614Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  677771ms] [INFO] [SAFA API] -> GET /automation/status {method: GET, path: /automation/status, url: /api/automation/status, body: undefined, requestedAt: 2026-06-23T13:19:25.615Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  677873ms] [INFO] [SAFA API] <- 200 GET /auth/session (107ms) {method: GET, path: /auth/session, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  678137ms] [INFO] [SAFA API] <- 200 GET /settings/connections (367ms) {method: GET, path: /settings/connections, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  679795ms] [INFO] [SAFA ROUTE] navigation {from: /orders, to: /, pathname: /, search: null, navigatedAt: 2026-06-23T13:19:27.640Z} @ https://safa-redesign.web.app/_next/static/chunks/0u_z2k12x9vs1.js:0
[  679795ms] [INFO] [SAFA API] -> GET /auth/session {method: GET, path: /auth/session, url: /api/auth/session, body: undefined, requestedAt: 2026-06-23T13:19:27.640Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
